,WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,CALI,RMED,RDEP,RHOB,GR,NPHI,PEF,DRHO,DTC,SP,BS
0,31/2-19 S,1537.2784,520157.59375,6753015.0,-1514.570923,16.915090561,0.9703007936,0.9673677087,,155.00068665,0.4898551404,4.239095211,0.0348060392,136.14369202,142.23539734,12.250000954
1,31/2-19 S,1537.4304,520157.5625,6753015.0,-1514.721436,17.062044144,0.9510378242,0.9436175823,2.0654706955,158.35746765,0.5074436069,4.360284328500001,0.027745144399999998,138.06678772,141.8349762,12.250000954
2,31/2-19 S,1537.5824,520157.5625,6753015.0,-1514.871826,17.215484619,0.9407732487,0.9414275885,,154.84947205,0.5173023939,4.5026698112,0.023892125099999998,139.61169434,142.05117798,12.250000954
3,31/2-19 S,1537.7344,520157.53125,6753015.0,-1515.022217,17.230670929000002,0.9186866283,0.9173238873,,153.14926147,0.542875886,4.8593969345,0.0232398957,142.07710266,142.47523499,12.250000954
4,31/2-19 S,1537.8864,520157.5,6753015.0,-1515.172607,17.227697372,0.875300765,0.8731401563,1.9609661102,154.38977051,0.5591928959,5.0189771652,0.0158593189,144.96929932,142.21342468,12.250000954
5,31/2-19 S,1538.0384,520157.5,6753015.0,-1515.32312,17.5128479,0.8195534945,0.8187260031999999,1.9378339052000002,157.95613098,0.5478826761,5.3098483086,0.013204724499999999,145.66172791,142.3735199,12.250000954
6,31/2-19 S,1538.1904,520157.46875,6753015.0,-1515.473511,17.432981491,0.7784511447,0.7760488391,,164.11619568,0.5386721492000001,5.380333900499999,0.0084026242,142.90939331,143.03198242,12.250000954
7,31/2-19 S,1538.3424,520157.46875,6753015.0,-1515.623901,17.419445038,0.7783842087,0.7697960138,2.0565581322,161.93406677,0.5349089503,5.0002603531,0.0060939635,140.36105347,142.84185791,12.250000954
8,31/2-19 S,1538.4944,520157.4375,6753015.0,-1515.774292,17.394609450999997,0.8115810752,0.8018748164,,162.18910217,0.5401268005,4.3909320831,0.0062724412,137.14108276,142.65158081,12.250000954
9,31/2-19 S,1538.6464,520157.4375,6753015.0,-1515.924805,17.422571182000002,0.8845871090999999,0.8816577196,2.1446001530000003,168.09783936,0.5294574499,4.0390634537,0.002633071,135.77096558,143.06643677,12.250000954
10,31/2-19 S,1538.7984,520157.40625,6753015.0,-1516.075195,17.471630096,0.9324911237000001,0.9256813526000001,,165.14305115,0.5196863413,4.0889191628,-0.000355381,134.81111145,143.5296936,12.250000954
11,31/2-19 S,1538.9504,520157.40625,6753015.0,-1516.225586,17.462932587,0.9946094154999999,0.9812204837999999,2.06808424,166.0103302,0.5187574625,4.373404026,0.0076748035,135.09681702,143.77116394,12.250000954
12,31/2-19 S,1539.1024,520157.375,6753015.0,-1516.375977,17.5225811,1.0091784,0.9893286228,,166.0050354,0.523661375,4.726539135,0.0167036746,136.53710938,143.42404175,12.250000954
13,31/2-19 S,1539.2544,520157.375,6753015.0,-1516.526489,17.662164688,0.9973083734999999,0.9756986499,1.9639686346,163.77101135,0.524070859,5.1184825897,0.015115748200000001,138.00576782,143.6028595,12.250000954
14,31/2-19 S,1539.4064,520157.34375,6753015.0,-1516.67688,17.617303848,0.9704417586,0.9584645629,,165.26611328,0.5420110226,5.3883008957000005,0.015411811899999999,141.25874329,143.83218384,12.250000954
15,31/2-19 S,1539.5584,520157.34375,6753015.0,-1516.827393,17.437486649,0.9169737697,0.9073354006000001,,164.76268005,0.5643955468999999,5.404617309600001,0.0140312342,141.81004333,143.73080444,12.250000954
16,31/2-19 S,1539.7104,520157.3125,6753015.0,-1516.977783,17.507860184000002,0.8933433293999999,0.8815506697,1.9534524678999998,159.66522217,0.5767042041,5.1183075905,0.013729921499999999,141.89079285,143.83120728,12.250000954
17,31/2-19 S,1539.8624,520157.3125,6753015.0,-1517.128174,17.637010574,0.8532803059,0.844317317,,157.09347534,0.573477149,4.8938646317000005,0.014181889599999999,142.59933472,143.875,12.250000954
18,31/2-19 S,1540.0144,520157.28125,6753015.0,-1517.278564,17.631038666,0.8511621951999999,0.8484380245,,155.24891663,0.5568813682,4.5065102577,0.014071653600000001,141.53533936,144.68373108,12.250000954
19,31/2-19 S,1540.1664,520157.28125,6753015.0,-1517.429077,17.722881317,0.8398396373,0.8381327987,,158.59825134,0.5543997884,4.2602438927,0.012331234299999999,140.05760193,144.55822754,12.250000954
20,31/2-19 S,1540.3184,520157.25,6753015.0,-1517.579468,17.718938828,0.8752874136,0.873614192,,160.65074158,0.528265357,4.1093149185,0.014067716899999999,139.97494507,144.4375,12.250000954
21,31/2-19 S,1540.4704,520157.25,6753015.0,-1517.729858,17.623033524,0.9194611906999999,0.9190664290999999,2.1012148857,159.94404602,0.5000147223,4.3220267296,0.012314173400000001,139.96002197,144.10794067,12.250000954
22,31/2-19 S,1540.6224,520157.21875,6753015.0,-1517.880249,17.733995438,0.9211425185,0.9290995002,2.0578160286,167.11572266,0.4966026247,4.5087676048,0.009923622,140.73596191,143.81233215,12.250000954
